,Verbo  1,Verbo  2,Verbo  3,Verbo  4,Verbo  5,Verbo  6,Verbo  7,Verbo  8,Verbo  9,Verbo  10,Verbo  11,Verbo  12,Verbo  13,Verbo  14,Verbo  15,Verbo  16,Verbo  17,Verbo  18,Verbo  19,Verbo  20
Dia 1,ser,ver,decir,estar,tener,ir,hacer,mejorar,hablar,garantizar,encontrar,ayudar,tomar,haber,saber,trabajar,crear,seguir,promover,mantener
Dia 2,dejar,evitar,dar,reducir,establecer,utilizar,vivir,aumentar,llegar,usar,conseguir,obtener,proteger,lograr,asegurar,cambiar,pensar,llevar,aplicar,desarrollar
Dia 3,facilitar,apoyar,determinar,adoptar,pasar,proporcionar,volver,cumplir,alcanzar,venir,examinar,participar,creer,recibir,comer,comprar,fortalecer,esperar,salir,matar
Dia 4,realizar,poner,jugar,ofrecer,pagar,resolver,morir,leer,tratar,permitir,conocer,contribuir,llamar,incluir,empezar,perder,entender,ganar,fomentar,evaluar
Dia 5,aprender,responder,compartir,reforzar,continuar,eliminar,abordar,construir,prevenir,escuchar,recordar,dormir,aceptar,combatir,presentar,reconocer,considerar,entrar,disfrutar,poder
Dia 6,controlar,sentir,elaborar,elegir,descargar,enviar,actuar,salvar,prestar,abrir,terminar,escribir,buscar,ampliar,comenzar,preparar,organizar,pedir,visitar,estudiar
Dia 7,identificar,informar,luchar,expresar,comprender,probar,mostrar,contar,demostrar,impedir,decidir,superar,celebrar,vender,oír,explicar,desempeñar,añadir,descubrir,producir
Dia 8,satisfacer,regresar,acceder,iniciar,mirar,beber,servir,modificar,traer,observar,conducir,definir,detener,revisar,solicitar,confiar,analizar,caminar,respetar,permanecer
Dia 9,financiar,formular,tocar,cubrir,preguntar,sacar,indicar,investigar,funcionar,destruir,introducir,alentar,incrementar,comprobar,generar,cerrar,señalar,necesitar,atender,ejecutar
Dia 10,supervisar,aprovechar,asumir,convertir,defender,manejar,escapar,viajar,recuperar,coordinar,ejercer,aprobar,mencionar,parecer,parar,causar,olvidar,correr,completar,bailar
Dia 11,discutir,limitar,averiguar,adquirir,concluir,acelerar,abandonar,asistir,destacar,invertir,recoger,romper,caer,cooperar,formar,cantar,votar,incorporar,seleccionar,instalar
Dia 12,sobrevivir,integrar,avanzar,medir,crecer,quedarse,firmar,robar,imponer,cuidar,consolidar,imaginar,consultar,limpiar,conservar,llorar,verificar,gestionar,mover,partir
Dia 13,enfrentar,confirmar,preservar,explorar,guardar,volar,dirigir,soportar,atraer,cortar,vigilar,aportar,afectar,detectar,negociar,pelear,proponer,disparar,querer,solucionar
Dia 14,conceder,reunir,afrontar,respirar,aclarar,intercambiar,estimular,exigir,amar,arreglar,intensificar,movilizar,difundir,admitir,describir,actualizar,impulsar,coger,experimentar,contener
Dia 15,corregir,brindar,acabar,agregar,subir,quedar,hallar,disminuir,subrayar,practicar,importar,restablecer,debatir,contratar,colocar,ocurrir,reflejar,erradicar,sufrir,proseguir
Dia 16,recurrir,adaptar,atacar,aliviar,casarse,liberar,fijar,lanzar,entregar,justificar,finalizar,huir,colaborar,sustituir,enseñar,disponer,suceder,escoger,alimentar,armonizar
Dia 17,bajar,representar,calcular,retirar,juzgar,ocultar,ajustar,renunciar,saltar,prohibir,diseñar,llenar,conectar,descansar,cometer,provocar,convencer,emprender,comunicar,comparar
Dia 18,registrar,recomendar,competir,favorecer,intervenir,rechazar,invitar,mitigar,respaldar,sostener,cruzar,tirar,aparecer,repetir,declarar,asignar,reformar,transferir,golpear,cargar
Dia 19,constituir,quitar,reemplazar,combinar,afirmar,restaurar,autorizar,planificar,explotar,contactar,nadar,anunciar,levantar,suprimir,montar,reparar,elevar,ahorrar,influir,agradecer
Dia 20,efectuar,gritar,felicitar,intentar,operar,ordenar,negar,vencer,moverse,emplear,alquilar,despertar,desaparecer,sentarse,revelar,complementar,apreciar,reiterar,interpretar,proceder
Dia 21,extender,salvaguardar,reservar,reconstruir,regular,extraer,proveer,simplificar,imprimir,configurar,implementar,existir,reflexionar,atrapar,minimizar,especificar,variar,distribuir,nombrar,distinguir
Dia 22,cocinar,compensar,procesar,acoger,curar,suspender,localizar,resistir,devolver,grabar,preocuparse,manifestar,contestar,cancelar,abarcar,optimizar,notar,navegar,otorgar,renovar
Dia 23,ratificar,excluir,prever,echar,borrar,pintar,poseer,marcar,reír,girar,potenciar,unir,rezar,plantear,educar,suponer,meter,almacenar,orar,engañar
Dia 24,vestir,ignorar,orientar,gastar,quemar,casar,reaccionar,redactar,emitir,fabricar,centrar,denunciar,capturar,sugerir,sonar,castigar,lavar,obligar,separar,perseguir
Dia 25,activar,nacer,convocar,dedicar,fingir,ocupar,editar,bloquear,insistir,esconder,cultivar,reclamar,dividir,restringir,designar,guiar,arruinar,mentir,significar,reafirmar
Dia 26,dañar,durar,mandar,estabilizar,reanudar,requerir,exponer,entrenar,valorar,encarar,exportar,predecir,capacitar,retener,derrotar,sufragar,mezclar,impartir,perdonar,condenar
Dia 27,apostar,citar,racionalizar,contemplar,profundizar,maximizar,optar,cazar,animar,ingresar,reproducir,surgir,adivinar,copiar,interrumpir,dibujar,cenar,culpar,entablar,frenar
Dia 28,socavar,recopilar,alterar,resultar,rastrear,rescatar,vincular,notificar,almorzar,cobrar,trasladar,criar,insertar,rendir,besar,recorrer,someter,absorber,comprometer,acompañar
Dia 29,obedecer,programar,oler,dominar,presionar,gobernar,encender,modernizar,soñar,temer,retirarse,perfeccionar,confesar,resaltar,planear,equilibrar,marchar,procurar,beneficiar,sensibilizar
Dia 30,sonreír,manipular,concentrar,concebir,consumir,expandir,interactuar,captar,forjar,aplazar,agarrar,cuestionar,sacrificar,honrar,recaudar,saludar,aterrizar,pasear,conquistar,desplegar
Dia 31,testificar,remediar,percibir,visualizar,sentar,forzar,revitalizar,remitir,invocar,enjuiciar,apelar,divulgar,apagar,enmendar,recalcar,estimar,implicar,rellenar,documentar,prorrogar
Dia 32,promulgar,retrasar,empujar,arrestar,acordar,dotar,colgar,criticar,enterrar,duplicar,sancionar,herir,protestar,atravesar,desayunar,conversar,lastimar,dudar,gustar,subsanar
Dia 33,calentar,admirar,amenazar,agilizar,despedir,coser,progresar,sanar,prolongar,obstaculizar,ceder,eludir,clasificar,denegar,acudir,rodar,debilitar,donar,descartar,desear
Dia 34,reconsiderar,diversificar,levantarse,asesorar,conmemorar,pescar,conciliar,depender,arriesgar,cavar,inspirar,revertir,abolir,doblar,expulsar,remover,confundir,fallar,aguantar,plantar
Dia 35,demandar,concertar,precisar,arrancar,filmar,abrazar,reprimir,interrogar,exceder,inventar,apuntar,comentar,promocionar,arrastrar,odiar,aislar,diagnosticar,involucrar,ilustrar,proclamar
Dia 36,resumir,advertir,perjudicar,congelar,desafiar,reestructurar,acusar,soltar,desactivar,arrojar,contraer,impresionar,inspeccionar,cuantificar,anular,penetrar,escalar,aplastar,cesar,asustar
Dia 37,molestar,comercializar,calmar,evolucionar,tardar,dictar,sembrar,persuadir,deshacer,figurar,desviar,afianzar,estallar,propiciar,implantar,prometer,impugnar,imitar,enriquecer,acumular
Dia 38,desestabilizar,recortar,disuadir,coincidir,albergar,revocar,inducir,brillar,reclutar,liderar,rehabilitar,costar,reportar,entrevistar,fundar,enfocar,apretar,secuestrar,pronunciar,canalizar
Dia 39,paliar,tragar,constatar,reiniciar,reactivar,prosperar,situar,acercar,evacuar,descifrar,extrañar,trazar,neutralizar,deducir,acostarse,avisar,motivar,expedir,incitar,rectificar
Dia 40,sorprender,quejarse,sospechar,pegar,tramitar,diferenciar,disolver,librar,charlar,revivir,desmantelar,discernir,lucir,complacer,desalentar,proyectar,instaurar,incoar,derribar,destinar
Dia 41,ensayar,repartir,alojar,validar,ultimar,llover,compilar,invadir,doler,olvidarse,depositar,posponer,ascender,anotar,atenuar,calificar,institucionalizar,presidir,colmar,retornar
Dia 42,habilitar,clarificar,privar,intimidar,deber,heredar,encomiar,incentivar,acortar,reglamentar,empeorar,pretender,anticipar,retroceder,traicionar,atribuir,inscribir,subestimar,basar,ubicar
Dia 43,asociar,morder,delegar,reorganizar,vaciar,armar,residir,sangrar,atar,derogar,encargar,presenciar,posibilitar,dialogar,agravar,pulsar,alejarse,perturbar,reembolsar,lamentar
Dia 44,simular,concienciar,desperdiciar,sumar,menoscabar,abonar,alertar,prevalecer,callar,desplazar,disipar,temblar,repasar,agrupar,despejar,comparecer,convenir,despegar,evadir,descender
Dia 45,idear,perpetuar,obrar,multiplicar,placer,fracasar,sustentar,acatar,esclarecer,interponer,retomar,prescindir,suscribir,triunfar,vengar,estructurar,desarmar,estrechar,reorientar,certificar
Dia 46,encajar,enumerar,envejecer,instituir,faltar,presumir,asimilar,corresponder,afiliarse,encubrir,indemnizar,lidiar,discriminar,articular,atajar,quebrar,acrecentar,sobrepasar,legislar,pesar
Dia 47,constar,fumar,espiar,liquidar,cocer,rogar,circular,valer,adelantar,velar,destrozar,conferir,juntar,demorar,concretar,suscitar,exhortar,trepar,delimitar,entrañar
Dia 48,traspasar,carecer,esparcir,preocupar,rebajar,preferir,alejar,caber,suicidarse,pillar,mojar,mudar,fundamentar,encauzar,maldecir,adecuar,convivir,pisar,padecer,avergonzar
Dia 49,andar,ligar,rehusar,tentar,encerrar,tender,exprimir,decidirse,consignar,nevar,gemir,rugir,poblar,errar,yacer,multar,argüir,roer,pudrir,engrosar
Dia 50,serrar,helar,enraizar,militar,granizar,amanecer,trabar,plegar,pasmar,tensar,revolver,cansar,publicar,titular,transmitir,administrar,engranar,transformar,suministrar,acuñar
Dia 51,transportar,traducir,contrarrestar,asesinar,inundar,recabar,redoblar,precipitar,personalizar,redondear,decorar,tolerar,derretir,degustar,envolver,predicar,iluminar,tejer,secar,realzar
Dia 52,acomodar,colorear,afluir,saborear,acampar,filtrar,hervir,componer,cursar,florecer,unificar,atestiguar,gotear,desbloquear,enfriar,fluir,desconectar,igualar,innovar,cosechar
Dia 53,meditar,abusar,equipar,regalar,emparejar,relajar,sellar,bucear,ejercitar,acometer,recrear,derrocar,alinear,conformar,seducir,madurar,accionar,relacionar,aconsejar,batir
Dia 54,caracterizar,sujetar,agitar,razonar,apartar,gozar,abastecer,redefinir,recargar,entretener,enfatizar,estirar,extirpar,tapar,verter,recobrar,desechar,codificar,picar,reposar
Dia 55,chocar,abortar,plasmar,regar,perforar,ofender,sudar,insultar,archivar,suavizar,merecer,repercutir,arder,reponer,inaugurar,interceptar,rehacer,inculcar,formalizar,materializar
Dia 56,corroborar,pertenecer,adorar,culminar,adjuntar,instruir,incidir,ocasionar,argumentar,susurrar,masticar,exagerar,hundir,esquivar,solventar,aplaudir,comerciar,patrocinar,normalizar,improvisar
Dia 57,modelar,desencadenar,desmontar,resucitar,reexaminar,acreditar,alegar,encomendar,transcurrir,torturar,soplar,interferir,tranquilizar,perseverar,saldar,infringir,consagrar,excavar,aunar,enojar
Dia 58,agrandar,patear,omitir,fusionar,dificultar,barrer,patinar,derivar,recompensar,interesar,calibrar,ingerir,penalizar,liberalizar,memorizar,freír,ahogar,eximir,tropezar,recitar
Dia 59,distraer,elogiar,regir,confiscar,contaminar,irrumpir,desestimar,escupir,reivindicar,afinar,derramar,enlazar,jurar,frustrar,legitimar,transitar,desatar,sopesar,embarcar,acentuar
Dia 60,domesticar,sabotear,trascender,suplir,pelar,evocar,refutar,alargar,emerger,sintetizar,mediar,restituir,dispensar,subsistir,consentir,objetar,persistir,falsificar,cumplimentar,enfermar
Dia 61,bombardear,dimitir,desacreditar,reventar,encabezar,detallar,desistir,opinar,disimular,generalizar,habitar,prender,latir,reintegrar,descuidar,moldear,esbozar,malgastar,detonar,distorsionar
Dia 62,obstruir,entorpecer,adjudicar,recaer,sobrellevar,asaltar,infundir,diluir,relanzar,replicar,confeccionar,indagar,portar,socializar,refrescar,alabar,desembarcar,estipular,reutilizar,paralizar
Dia 63,infectar,rodear,enderezar,dispersar,reformular,remar,regenerar,contradecir,desalojar,contabilizar,saquear,voltear,aniquilar,desembocar,maniobrar,referir,sortear,fluctuar,repensar,expirar
Dia 64,ahondar,exacerbar,gravar,instar,acosar,rebasar,reinar,tipificar,revaluar,denominar,incendiar,equiparar,pilotar,vacunar,valorizar,soldar,incumplir,disculpar,enunciar,divertir
Dia 65,redescubrir,alzar,diferir,restar,reavivar,desobedecer,endurecer,reasignar,fiscalizar,asar,demoler,acarrear,canjear,conmover,adherir,legalizar,conjugar,desconocer,frotar,moderar
Dia 66,depurar,zarpar,enmarcar,amortiguar,ensamblar,asentar,aproximar,posar,decretar,colapsar,capitalizar,engendrar,moler,impactar,postergar,clausurar,desenterrar,revestir,vislumbrar,oponer
Dia 67,reprogramar,fundir,contrastar,suplicar,economizar,vibrar,desvelar,lamer,disputar,profesar,replantear,reescribir,aligerar,atracar,dirimir,sofocar,apuntalar,acertar,humillar,aflojar
Dia 68,ensuciar,individualizar,originar,acariciar,facultar,deliberar,encantar,comprimir,invalidar,obviar,rescindir,manchar,coexistir,dilucidar,tumbar,brotar,adornar,imputar,adelgazar,sobresalir
Dia 69,engordar,volcar,erigir,censurar,compaginar,remodelar,apaciguar,mendigar,procrear,empaquetar,exterminar,facturar,platicar,rebotar,enmascarar,defraudar,sobrecargar,bastar,pronosticar,destituir
Dia 70,inclinar,alternar,corromper,bañar,despreciar,sintonizar,rociar,alegrar,inferir,fregar,oscurecer,catalogar,estrangular,repeler,husmear,desenmascarar,digitalizar,trasmitir,reajustar,deslizar
Dia 71,batear,redirigir,desembolsar,blanquear,delatar,reconstituir,consistir,encarnar,testimoniar,aminorar,devorar,estafar,parir,resurgir,oscilar,relatar,despachar,enganchar,concurrir,insinuar
Dia 72,concordar,dinamizar,postular,telefonear,aducir,privilegiar,extinguir,arrendar,aterrorizar,sanear,conllevar,aguardar,botar,encaminar,saciar,deambular,ponderar,degradar,allanar,resguardar
Dia 73,parpadear,instigar,perfilar,soslayar,perecer,balancear,nivelar,declinar,reinventar,sumergir,tallar,cotejar,regularizar,aplacar,desbaratar,bautizar,disfrazar,arbitrar,triturar,untar
Dia 74,menospreciar,descomponer,estrenar,jalar,desaprovechar,socorrer,desentrañar,remontar,virar,inflar,peinar,retratar,afilar,quebrantar,apresurar,purgar,colar,propugnar,bordar,apilar
Dia 75,custodiar,esterilizar,matricular,vulnerar,perdurar,cifrar,conjurar,ventilar,acoplar,teñir,avivar,amasar,izar,contraatacar,embellecer,rasgar,subcontratar,teclear,reaparecer,aludir
Dia 76,embalar,desterrar,rematar,maltratar,puntualizar,evidenciar,triplicar,reestablecer,frecuentar,torcer,hurgar,traficar,vacilar,amparar,escurrir,repostar,enrollar,contravenir,abatir,decodificar
Dia 77,tachar,podar,faenar,mermar,pujar,derrumbar,compatibilizar,acostumbrar,atropellar,regatear,apurar,resonar,sondear,avalar,despojar,amortizar,conspirar,remarcar,sobrevolar,difamar
Dia 78,pisotear,desvincular,provenir,ensanchar,machacar,rebatir,recomponer,preceder,cimentar,destapar,deteriorar,mascar,pactar,relevar,suplantar,reseñar,abrigar,condonar,azotar,desglosar
Dia 79,inculpar,acaparar,legar,recomenzar,revender,cepillar,desmentir,espantar,incautarse,interceder,exonerar,cejar,retocar,escarbar,mimar,embargar,discrepar,usurpar,falsear,chillar
Dia 80,divisar,reanimar,coronar,simbolizar,agudizar,raspar,refrendar,doblegar,reconectar,amarrar,irritar,disociar,rascar,lesionar,reinstalar,recubrir,fichar,reordenar,morar,inmovilizar
Dia 81,secundar,repudiar,disentir,abreviar,saltear,apestar,contagiar,reagrupar,reenviar,hojear,excitar,masacrar,asfixiar,estrellar,abogar,derrochar,alumbrar,proscribir,dilatar,labrar
Dia 82,descomprimir,desvirtuar,aflorar,implorar,primar,ostentar,cuadrar,lloriquear,desprender,incurrir,litigar,arraigar,murmurar,descongelar,abaratar,cautivar,mutilar,venerar,consumar,revalorizar
Dia 83,chasquear,merodear,impregnar,homenajear,acechar,empañar,endulzar,emocionar,denigrar,recapitular,anhelar,bregar,congregar,desarticular,interconectar,intuir,abundar,brincar,estorbar,clamar
Dia 84,fantasear,limar,reconquistar,rondar,escatimar,circunscribir,equivaler,rehuir,hidratar,rentabilizar,retribuir,sucumbir,zafar,retransmitir,humedecer,atormentar,eclipsar,intimar,rayar,airear
Dia 85,trastornar,deponer,estampar,desmayar,desenredar,despistar,fructificar,mamar,crujir,asentir,reprobar,descalificar,incinerar,licitar,reprender,cercar,parlotear,alisar,suspirar,asestar
Dia 86,desgarrar,predominar,camuflar,atizar,galvanizar,desconfiar,dosificar,arañar,rebosar,rememorar,enredar,salpicar,aglutinar,deshonrar,dorar,retorcer,encadenar,malinterpretar,regañar,coartar
Dia 87,curiosear,sentenciar,flaquear,vendar,babear,entonar,descongestionar,gruñir,tonificar,ensalzar,comulgar,cristalizar,adormecer,deformar,infravalorar,homologar,matizar,reconvertir,remendar,superponer
Dia 88,incomodar,recusar,escudriñar,rajar,repoblar,esgrimir,amedrentar,emborrachar,capear,atemorizar,atrasar,desgastar,ondear,rozar,despedazar,reñir,anexar,contraponer,calumniar,devastar
Dia 89,tramar,desprestigiar,tantear,desesperar,cotillear,despuntar,rebuscar,reprochar,amonestar,conjeturar,hipnotizar,reconducir,fraccionar,acorralar,segregar,asomar,entusiasmar,escasear,empapar,contrariar
Dia 90,engullir,intercalar,achicar,desintegrar,fisgonear,amontonar,desfallecer,palpitar,tambalear,presagiar,reabastecer,reincorporar,argollar,dramatizar,manar,sermonear,timar,estremecer,difuminar,hinchar
Dia 91,señalizar,desbordar,amañar,amenizar,agachar,imposibilitar,enfurecer,ojear,despilfarrar,menguar,dimanar,disgustar,sobrestimar,surcar,bordear,blasfemar,curvar,esforzar,mancillar,desvanecer
Dia 92,naufragar,reacondicionar,tasar,castrar,confluir,cuajar,fascinar,desaprobar,distender,desdeñar,mecer,desenrollar,empapelar,corretear,desorientar,calzar,forcejear,engatusar,menear,anestesiar
Dia 93,desahogar,uniformizar,retumbar,entrelazar,congeniar,transbordar,tronar,idealizar,rehogar,añorar,inquietar,reelegir,apañar,encolar,exteriorizar,desangrar,ensombrecer,hechizar,pregonar,rechinar
Dia 94,imbuir,refundar,desmenuzar,malograr,oxidar,destrabar,forrar,importunar,cablear,desacoplar,desordenar,macerar,distanciar,embutir,personificar,titubear,arrollar,trenzar,desvestir,aguar
Dia 95,cohabitar,desfigurar,reincidir,hurtar,reeditar,adscribir,deslindar,desnaturalizar,aromatizar,confraternizar,pastorear,enturbiar,zozobrar,agasajar,embestir,mordisquear,revolotear,abrochar,disecar,desligar
Dia 96,opacar,recalentar,alborotar,apacentar,desenganchar,desenroscar,recolocar,renegar,arrugar,destronar,rizar,chismorrear,taponar,desconcertar,aporrear,atascar,detestar,estrujar,trasvasar,preseleccionar
Dia 97,aferrar,jadear,refunfuñar,palidecer,reverenciar,zumbar,acordonar,apalear,empollar,engrandecer,fecundar,readaptar,ansiar,pitar,sobrevalorar,compadecer,desparramar,desabrochar,puentear,urdir
Dia 98,desatascar,fruncir,corroer,arremeter,maquinar,dormitar,chapotear,desautorizar,azuzar,disertar,sonsacar,totalizar,abjurar,seccionar,broncear,sesgar,aventajar,vivificar,cebar,enaltecer
Dia 99,extraviar,hartar,hilvanar,amainar,desvalorizar,aprisionar,ofuscar,escindir,estancar,piar,ondular,pormenorizar,rumiar,afligir,cabecear,exculpar,deshumanizar,aparear,espabilar,graznar
Dia 100,readquirir,zarandear,capitanear,engalanar,aparejar,asolar,birlar,enardecer,encandilar,vilipendiar,aterrar,obsesionar,expurgar,serpentear,aclimatar,circundar,eternizar,fustigar,precautelar, 
